cod_distr	nome_distr	ano	sexo	Idade	populacao
80003	Anhanguera	2000	Homens	00 a 04	2212
80003	Anhanguera	2000	Homens	05 a 09	2067
80003	Anhanguera	2000	Homens	10 a 14	2002
80003	Anhanguera	2000	Homens	15 a 19	1686
80003	Anhanguera	2000	Homens	20 a 24	1717
80003	Anhanguera	2000	Homens	25 a 29	1758
80003	Anhanguera	2000	Homens	30 a 34	2094
80003	Anhanguera	2000	Homens	35 a 39	1741
80003	Anhanguera	2000	Homens	40 a 44	1319
80003	Anhanguera	2000	Homens	45 a 49	918
80003	Anhanguera	2000	Homens	50 a 54	566
80003	Anhanguera	2000	Homens	55 a 59	354
80003	Anhanguera	2000	Homens	60 a 64	215
80003	Anhanguera	2000	Homens	65 a 69	139
80003	Anhanguera	2000	Homens	70 a 74	86
80003	Anhanguera	2000	Homens	75 e +	93
80003	Anhanguera	2000	Mulheres	00 a 04	2196
80003	Anhanguera	2000	Mulheres	05 a 09	2039
80003	Anhanguera	2000	Mulheres	10 a 14	1896
80003	Anhanguera	2000	Mulheres	15 a 19	1833
80003	Anhanguera	2000	Mulheres	20 a 24	1738
80003	Anhanguera	2000	Mulheres	25 a 29	2002
80003	Anhanguera	2000	Mulheres	30 a 34	2043
80003	Anhanguera	2000	Mulheres	35 a 39	1665
80003	Anhanguera	2000	Mulheres	40 a 44	1230
80003	Anhanguera	2000	Mulheres	45 a 49	840
80003	Anhanguera	2000	Mulheres	50 a 54	543
80003	Anhanguera	2000	Mulheres	55 a 59	380
80003	Anhanguera	2000	Mulheres	60 a 64	242
80003	Anhanguera	2000	Mulheres	65 a 69	147
80003	Anhanguera	2000	Mulheres	70 a 74	128
80003	Anhanguera	2000	Mulheres	75 e +	148
80003	Anhanguera	2005	Homens	00 a 04	2487
80003	Anhanguera	2005	Homens	05 a 09	2514
80003	Anhanguera	2005	Homens	10 a 14	2700
80003	Anhanguera	2005	Homens	15 a 19	2323
80003	Anhanguera	2005	Homens	20 a 24	2405
80003	Anhanguera	2005	Homens	25 a 29	2358
80003	Anhanguera	2005	Homens	30 a 34	2547
80003	Anhanguera	2005	Homens	35 a 39	2329
80003	Anhanguera	2005	Homens	40 a 44	2029
80003	Anhanguera	2005	Homens	45 a 49	1463
80003	Anhanguera	2005	Homens	50 a 54	987
80003	Anhanguera	2005	Homens	55 a 59	640
80003	Anhanguera	2005	Homens	60 a 64	390
80003	Anhanguera	2005	Homens	65 a 69	225
80003	Anhanguera	2005	Homens	70 a 74	134
80003	Anhanguera	2005	Homens	75 e +	142
