cod_distr;nome_distr;ano;populacao_total;populacao_idosa;taxa_envelhecimento_perc;leitos_por_mil_hab
80001;Distrito Sintético 1;2010;76519;17300;22.61;3.01
80002;Distrito Sintético 2;2010;78839;11661;14.79;4.64
80003;Distrito Sintético 3;2010;72318;14411;19.93;3.34
80004;Distrito Sintético 4;2010;76630;11657;15.21;1.74
80005;Distrito Sintético 5;2010;86156;16878;19.59;3.83
80006;Distrito Sintético 6;2010;77900;20160;25.88;3.23
80007;Distrito Sintético 7;2010;92699;18084;19.51;3.53
80008;Distrito Sintético 8;2010;86656;12724;14.68;2.86
80009;Distrito Sintético 9;2010;69787;13782;19.75;0.91
80010;Distrito Sintético 10;2010;95788;15756;16.45;4.24
80011;Distrito Sintético 11;2010;89549;14500;16.19;0.79
80012;Distrito Sintético 12;2010;81231;13514;16.64;4.44
80013;Distrito Sintético 13;2010;84637;14235;16.82;0.67
80014;Distrito Sintético 14;2010;93773;18293;19.51;1.22
80015;Distrito Sintético 15;2010;82136;17824;21.7;3.17
80016;Distrito Sintético 16;2010;84601;12538;14.82;4.03
80017;Distrito Sintético 17;2010;84690;19623;23.17;1.81
80018;Distrito Sintético 18;2010;77381;19617;25.35;1.28
80019;Distrito Sintético 19;2010;77047;13349;17.33;1.25
80020;Distrito Sintético 20;2010;71300;12382;17.37;1.45
80021;Distrito Sintético 21;2010;76398;15969;20.9;1.82
80022;Distrito Sintético 22;2010;83773;18359;21.92;1.42
80023;Distrito Sintético 23;2010;77594;12144;15.65;1.08
80024;Distrito Sintético 24;2010;92428;16746;18.12;3.97
80025;Distrito Sintético 25;2010;80998;17130;21.15;4.45
80026;Distrito Sintético 26;2010;82189;15925;19.38;1.54
80027;Distrito Sintético 27;2010;80605;12637;15.68;0.67
80028;Distrito Sintético 28;2010;90115;16683;18.51;0.78
80029;Distrito Sintético 29;2010;72077;9949;13.8;0.73
80030;Distrito Sintético 30;2010;88279;12687;14.37;3.79
80031;Distrito Sintético 31;2010;78708;12962;16.47;1.25
80032;Distrito Sintético 32;2010;76246;14327;18.79;1.99
80033;Distrito Sintético 33;2010;82911;16106;19.43;0.51
80034;Distrito Sintético 34;2010;79313;13235;16.69;0.63
80035;Distrito Sintético 35;2010;77892;14226;18.26;1.08
80036;Distrito Sintético 36;2010;88342;14744;16.69;1.39
80037;Distrito Sintético 37;2010;90726;13939;15.36;0.51
80038;Distrito Sintético 38;2010;88948;16540;18.6;2.02
80039;Distrito Sintético 39;2010;85945;13981;16.27;2.77
80040;Distrito Sintético 40;2010;83388;13310;15.96;3.39
80041;Distrito Sintético 41;2010;80410;13988;17.4;0.62
80042;Distrito Sintético 42;2010;97087;13579;13.99;0.61
80043;Distrito Sintético 43;2010;78050;16400;21.01;2.54
80044;Distrito Sintético 44;2010;75046;16632;22.16;1.19
80045;Distrito Sintético 45;2010;81601;15850;19.42;0.59
80046;Distrito Sintético 46;2010;92941;20213;21.75;3.63
80047;Distrito Sintético 47;2010;77224;14468;18.74;1.97
80048;Distrito Sintético 48;2010;76995;13015;16.9;2.27
80049;Distrito Sintético 49;2010;85925;15460;17.99;1.45
80050;Distrito Sintético 50;2010;83313;15165;18.2;2.8
