cod_distr;nome_distr;latitude;longitude;total_centros_saude_idosos;atendimentos_totais_ano
80001;Distrito Sintético 1;-23.557205;-46.568653;5;34636
80002;Distrito Sintético 2;-23.558645;-46.631495;8;14677
80003;Distrito Sintético 3;-23.555566;-46.532345;8;45274
80004;Distrito Sintético 4;-23.514901;-46.647944;8;15100
80005;Distrito Sintético 5;-23.556379;-46.550347;9;6591
80006;Distrito Sintético 6;-23.624868;-46.624244;10;14100
80007;Distrito Sintético 7;-23.533384;-46.655813;8;34952
80008;Distrito Sintético 8;-23.563367;-46.686422;2;24463
80009;Distrito Sintético 9;-23.560848;-46.637552;1;6596
80010;Distrito Sintético 10;-23.544206;-46.558834;11;23672
80011;Distrito Sintético 11;-23.538385;-46.589181;7;21814
80012;Distrito Sintético 12;-23.491822;-46.595556;1;39584
80013;Distrito Sintético 13;-23.517168;-46.748794;8;44421
80014;Distrito Sintético 14;-23.544475;-46.594452;9;11562
80015;Distrito Sintético 15;-23.586916;-46.602207;8;20462
80016;Distrito Sintético 16;-23.600733;-46.657496;7;12203
80017;Distrito Sintético 17;-23.537683;-46.661369;9;39406
80018;Distrito Sintético 18;-23.484446;-46.630116;6;34492
80019;Distrito Sintético 19;-23.547917;-46.543756;6;14755
80020;Distrito Sintético 20;-23.555316;-46.682755;5;28822
80021;Distrito Sintético 21;-23.523411;-46.651390;3;12497
80022;Distrito Sintético 22;-23.622677;-46.561911;7;24164
80023;Distrito Sintético 23;-23.565614;-46.652308;3;47510
80024;Distrito Sintético 24;-23.525482;-46.648213;1;11112
80025;Distrito Sintético 25;-23.506330;-46.625111;2;38902
80026;Distrito Sintético 26;-23.562031;-46.692064;1;39421
80027;Distrito Sintético 27;-23.531170;-46.619003;3;47904
80028;Distrito Sintético 28;-23.537589;-46.690481;10;26364
80029;Distrito Sintético 29;-23.510884;-46.585740;5;46314
80030;Distrito Sintético 30;-23.605661;-46.629841;9;47537
80031;Distrito Sintético 31;-23.521587;-46.515828;6;13756
80032;Distrito Sintético 32;-23.625726;-46.615958;2;10356
80033;Distrito Sintético 33;-23.680997;-46.561716;11;13988
80034;Distrito Sintético 34;-23.580345;-46.695163;2;28899
80035;Distrito Sintético 35;-23.595791;-46.636107;10;25392
80036;Distrito Sintético 36;-23.506199;-46.613843;7;21127
80037;Distrito Sintético 37;-23.516787;-46.542714;4;21205
80038;Distrito Sintético 38;-23.610954;-46.714046;9;12031
80039;Distrito Sintético 39;-23.507632;-46.580469;8;42311
80040;Distrito Sintético 40;-23.600110;-46.600432;11;40073
80041;Distrito Sintético 41;-23.554312;-46.553323;5;14667
80042;Distrito Sintético 42;-23.564695;-46.594381;8;32533
80043;Distrito Sintético 43;-23.544279;-46.627396;10;7950
80044;Distrito Sintético 44;-23.509068;-46.656082;2;35601
80045;Distrito Sintético 45;-23.518079;-46.692409;8;6703
80046;Distrito Sintético 46;-23.532506;-46.620229;7;45740
80047;Distrito Sintético 47;-23.517503;-46.639585;11;8397
80048;Distrito Sintético 48;-23.526075;-46.528987;6;20006
80049;Distrito Sintético 49;-23.581349;-46.660551;4;35636
80050;Distrito Sintético 50;-23.585869;-46.613980;1;49922
80051;Distrito Sintético 51;-23.573498;-46.708450;2;44283
80052;Distrito Sintético 52;-23.525034;-46.649773;11;20480
80053;Distrito Sintético 53;-23.562506;-46.616943;7;19897
80054;Distrito Sintético 54;-23.433212;-46.588802;10;44999
80055;Distrito Sintético 55;-23.590965;-46.557595;9;31643
80056;Distrito Sintético 56;-23.604944;-46.632207;6;9116
80057;Distrito Sintético 57;-23.511576;-46.685862;5;46972
