cod_distr;nome_distr;populacao_idosa
80001;Distrito Sintético 1;16276
80002;Distrito Sintético 2;15665
80003;Distrito Sintético 3;13167
80004;Distrito Sintético 4;17062
80005;Distrito Sintético 5;13150
80006;Distrito Sintético 6;16958
80007;Distrito Sintético 7;17231
80008;Distrito Sintético 8;13311
80009;Distrito Sintético 9;13958
80010;Distrito Sintético 10;15822
80011;Distrito Sintético 11;10055
80012;Distrito Sintético 12;16136
80013;Distrito Sintético 13;14099
80014;Distrito Sintético 14;18045
80015;Distrito Sintético 15;17192
80016;Distrito Sintético 16;12833
80017;Distrito Sintético 17;15321
80018;Distrito Sintético 18;17048
80019;Distrito Sintético 19;14834
80020;Distrito Sintético 20;13687
80021;Distrito Sintético 21;16556
80022;Distrito Sintético 22;16789
80023;Distrito Sintético 23;12927
80024;Distrito Sintético 24;13330
80025;Distrito Sintético 25;20548
80026;Distrito Sintético 26;14282
80027;Distrito Sintético 27;14913
80028;Distrito Sintético 28;15253
80029;Distrito Sintético 29;14785
80030;Distrito Sintético 30;15072
80031;Distrito Sintético 31;15584
80032;Distrito Sintético 32;15933
80033;Distrito Sintético 33;16156
80034;Distrito Sintético 34;14814
80035;Distrito Sintético 35;18315
80036;Distrito Sintético 36;12804
80037;Distrito Sintético 37;19011
80038;Distrito Sintético 38;13694
80039;Distrito Sintético 39;16791
80040;Distrito Sintético 40;14011
80041;Distrito Sintético 41;10345
80042;Distrito Sintético 42;16653
80043;Distrito Sintético 43;17635
80044;Distrito Sintético 44;17176
80045;Distrito Sintético 45;12276
80046;Distrito Sintético 46;16288
80047;Distrito Sintético 47;15601
80048;Distrito Sintético 48;13006
80049;Distrito Sintético 49;16318
80050;Distrito Sintético 50;16453
80051;Distrito Sintético 51;13818
80052;Distrito Sintético 52;10275
80053;Distrito Sintético 53;15315
80054;Distrito Sintético 54;13980
80055;Distrito Sintético 55;17237
80056;Distrito Sintético 56;15022
80057;Distrito Sintético 57;14179
80058;Distrito Sintético 58;16086
80059;Distrito Sintético 59;13972
80060;Distrito Sintético 60;12621
80061;Distrito Sintético 61;16470
80062;Distrito Sintético 62;14796
80063;Distrito Sintético 63;12116
80064;Distrito Sintético 64;13095
80065;Distrito Sintético 65;11450
80066;Distrito Sintético 66;11475
80067;Distrito Sintético 67;16037
80068;Distrito Sintético 68;11487
80069;Distrito Sintético 69;17684
80070;Distrito Sintético 70;16150
80071;Distrito Sintético 71;15442
80072;Distrito Sintético 72;14688
80073;Distrito Sintético 73;16885
80074;Distrito Sintético 74;16268
80075;Distrito Sintético 75;16383
80076;Distrito Sintético 76;16383
80077;Distrito Sintético 77;15867
80078;Distrito Sintético 78;13538
80079;Distrito Sintético 79;14816
80080;Distrito Sintético 80;13971
80081;Distrito Sintético 81;15595
80082;Distrito Sintético 82;10533
80083;Distrito Sintético 83;14681
80084;Distrito Sintético 84;15640
80085;Distrito Sintético 85;12335
80086;Distrito Sintético 86;18455
80087;Distrito Sintético 87;13310
80088;Distrito Sintético 88;20749
80089;Distrito Sintético 89;17393
80090;Distrito Sintético 90;14690
80091;Distrito Sintético 91;14972
80092;Distrito Sintético 92;10188
80093;Distrito Sintético 93;16492
80094;Distrito Sintético 94;13064
80095;Distrito Sintético 95;17248
80096;Distrito Sintético 96;14404
