cod_distr;nome_distr;ano;taxa_envelhecimento_perc;leitos_por_mil_hab;cobertura_esf_perc;indice_vulnerabilidade
80001;Distrito Sintético 1;2010;22.61;3.01;85.09;0.794
80002;Distrito Sintético 2;2010;14.79;4.64;35.33;0.78
80003;Distrito Sintético 3;2010;19.93;3.34;37.3;0.188
80004;Distrito Sintético 4;2010;15.21;1.74;80.76;0.525
80005;Distrito Sintético 5;2010;19.59;3.83;75.65;0.842
80006;Distrito Sintético 6;2010;25.88;3.23;79.92;0.72
80007;Distrito Sintético 7;2010;19.51;3.53;44.11;0.5
80008;Distrito Sintético 8;2010;14.68;2.86;66.09;0.857
80009;Distrito Sintético 9;2010;19.75;0.91;73.48;0.691
80010;Distrito Sintético 10;2010;16.45;4.24;76.41;0.777
80011;Distrito Sintético 11;2010;16.19;0.79;67.63;0.429
80012;Distrito Sintético 12;2010;16.64;4.44;90.15;0.381
80013;Distrito Sintético 13;2010;16.82;0.67;62.59;0.599
80014;Distrito Sintético 14;2010;19.51;1.22;81.48;0.204
80015;Distrito Sintético 15;2010;21.7;3.17;79.15;0.616
80016;Distrito Sintético 16;2010;14.82;4.03;92.45;0.457
80017;Distrito Sintético 17;2010;23.17;1.81;91.16;0.174
80018;Distrito Sintético 18;2010;25.35;1.28;80.54;0.833
80019;Distrito Sintético 19;2010;17.33;1.25;64.54;0.526
80020;Distrito Sintético 20;2010;17.37;1.45;73.21;0.375
80021;Distrito Sintético 21;2010;20.9;1.82;35.51;0.671
80022;Distrito Sintético 22;2010;21.92;1.42;30.49;0.666
80023;Distrito Sintético 23;2010;15.65;1.08;65.35;0.339
80024;Distrito Sintético 24;2010;18.12;3.97;63.12;0.371
80025;Distrito Sintético 25;2010;21.15;4.45;57.42;0.172
80026;Distrito Sintético 26;2010;19.38;1.54;33.5;0.359
80027;Distrito Sintético 27;2010;15.68;0.67;49.51;0.412
80028;Distrito Sintético 28;2010;18.51;0.78;60.3;0.382
80029;Distrito Sintético 29;2010;13.8;0.73;85.78;0.309
80030;Distrito Sintético 30;2010;14.37;3.79;66.95;0.402
80031;Distrito Sintético 31;2010;16.47;1.25;80.53;0.3
80032;Distrito Sintético 32;2010;18.79;1.99;43.48;0.124
80033;Distrito Sintético 33;2010;19.43;0.51;66.5;0.634
80034;Distrito Sintético 34;2010;16.69;0.63;34.63;0.382
80035;Distrito Sintético 35;2010;18.26;1.08;91.71;0.787
80036;Distrito Sintético 36;2010;16.69;1.39;68.19;0.242
80037;Distrito Sintético 37;2010;15.36;0.51;43.76;0.567
80038;Distrito Sintético 38;2010;18.6;2.02;60.62;0.867
80039;Distrito Sintético 39;2010;16.27;2.77;76.78;0.813
80040;Distrito Sintético 40;2010;15.96;3.39;54.51;0.833
80041;Distrito Sintético 41;2010;17.4;0.62;31.21;0.356
80042;Distrito Sintético 42;2010;13.99;0.61;92.05;0.642
80043;Distrito Sintético 43;2010;21.01;2.54;47.44;0.637
80044;Distrito Sintético 44;2010;22.16;1.19;63.82;0.485
80045;Distrito Sintético 45;2010;19.42;0.59;50.69;0.638
80046;Distrito Sintético 46;2010;21.75;3.63;45.29;0.609
80047;Distrito Sintético 47;2010;18.74;1.97;31.55;0.749
80048;Distrito Sintético 48;2010;16.9;2.27;77.55;0.438
80049;Distrito Sintético 49;2010;17.99;1.45;85.28;0.216
80050;Distrito Sintético 50;2010;18.2;2.8;91.92;0.463
80051;Distrito Sintético 51;2010;20.12;2.45;87.38;0.119
80052;Distrito Sintético 52;2010;23.29;2.46;43.04;0.497
80053;Distrito Sintético 53;2010;16.96;1.23;81.85;0.843
80054;Distrito Sintético 54;2010;23.87;4.17;34.41;0.136
80055;Distrito Sintético 55;2010;18.19;4.05;78.78;0.829
80056;Distrito Sintético 56;2010;20.7;1.7;62.2;0.529
80057;Distrito Sintético 57;2010;18.04;2.87;42.21;0.703
80058;Distrito Sintético 58;2010;16.96;1.77;56.42;0.72
80059;Distrito Sintético 59;2010;16.67;1.54;68.99;0.53
80060;Distrito Sintético 60;2010;18.01;4.33;81.74;0.827
80061;Distrito Sintético 61;2010;21.75;0.53;73.9;0.544
80062;Distrito Sintético 62;2010;16.12;1.53;44.77;0.768
80063;Distrito Sintético 63;2010;18.09;2.08;91.65;0.661
80064;Distrito Sintético 64;2010;14.55;2.39;32.69;0.626
80065;Distrito Sintético 65;2010;25.67;4.75;56.62;0.57
80066;Distrito Sintético 66;2010;16.59;2.36;88.47;0.346
80067;Distrito Sintético 67;2010;18.63;0.56;67.64;0.154
80068;Distrito Sintético 68;2010;20.56;3.81;40.84;0.576
80069;Distrito Sintético 69;2010;23.87;4.95;38.91;0.574
80070;Distrito Sintético 70;2010;27.54;2.71;31.8;0.726
80071;Distrito Sintético 71;2010;16.71;3.94;32.42;0.352
80072;Distrito Sintético 72;2010;19.11;4.69;80.82;0.634
80073;Distrito Sintético 73;2010;15.94;3.36;42.43;0.145
